verse_key,clean_verse,tafsir_ibn_kathir
2:19,او كصيب من السماء فيه ظلمـٰت ورعد وبرق يجعلون اصـٰبعهم فى ءاذانهم من الصوٰعق حذر الموت ۚ والله محيط بالكـٰفرين,Tafsir text placeholder for verse 2:19
2:20,يكاد البرق يخطف ابصـٰرهم ۖ كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وابصـٰرهم ۚ ان الله علىٰ كل شىء قدير,Tafsir text placeholder for verse 2:20
2:21,يـٰايها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون,Tafsir text placeholder for verse 2:21
2:22,الذى جعل لكم الارض فرٰشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرٰت رزقا لكم ۖ فلا تجعلوا لله اندادا وانتم تعلمون,Tafsir text placeholder for verse 2:22
2:23,وان كنتم فى ريب مما نزلنا علىٰ عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صـٰدقين,Tafsir text placeholder for verse 2:23
2:24,فان لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة ۖ اعدت للكـٰفرين,Tafsir text placeholder for verse 2:24
2:25,وبشر الذين ءامنوا وعملوا الصـٰلحـٰت ان لهم جنـٰت تجرى من تحتها الانهـٰر ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هـٰذا الذى رزقنا من قبل ۖ واتوا به متشـٰبها ۖ ولهم فيها ازوٰج مطهرة ۖ وهم فيها خـٰلدون,Tafsir text placeholder for verse 2:25
2:26,ان الله لا يستحيۦ ان يضرب مثلا ما بعوضة فما فوقها ۚ فاما الذين ءامنوا فيعلمون انه الحق من ربهم ۖ واما الذين كفروا فيقولون ماذا اراد الله بهـٰذا مثلا ۘ يضل به كثيرا ويهدى به كثيرا ۚ وما يضل به الا الفـٰسقين,Tafsir text placeholder for verse 2:26
2:27,الذين ينقضون عهد الله من بعد ميثـٰقه ويقطعون ما امر الله به ان يوصل ويفسدون فى الارض ۚ اولـٰئك هم الخـٰسرون,Tafsir text placeholder for verse 2:27
2:28,كيف تكفرون بالله وكنتم اموٰتا فاحيـٰكم ۖ ثم يميتكم ثم يحييكم ثم اليه ترجعون,Tafsir text placeholder for verse 2:28
2:29,هو الذى خلق لكم ما فى الارض جميعا ثم استوىٰ الى السماء فسوىٰهن سبع سمـٰوٰت ۚ وهو بكل شىء عليم,Tafsir text placeholder for verse 2:29
2:30,واذ قال ربك للملـٰئكة انى جاعل فى الارض خليفة ۖ قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال انى اعلم ما لا تعلمون,Tafsir text placeholder for verse 2:30
2:31,وعلم ءادم الاسماء كلها ثم عرضهم على الملـٰئكة فقال انبـٔونى باسماء هـٰؤلاء ان كنتم صـٰدقين,Tafsir text placeholder for verse 2:31
2:32,قالوا سبحـٰنك لا علم لنا الا ما علمتنا ۖ انك انت العليم الحكيم,Tafsir text placeholder for verse 2:32
2:33,قال يـٰـٔادم انبئهم باسمائهم ۖ فلما انباهم باسمائهم قال الم اقل لكم انى اعلم غيب السمـٰوٰت والارض واعلم ما تبدون وما كنتم تكتمون,Tafsir text placeholder for verse 2:33
2:34,واذ قلنا للملـٰئكة اسجدوا لـٔادم فسجدوا الا ابليس ابىٰ واستكبر وكان من الكـٰفرين,Tafsir text placeholder for verse 2:34
2:35,وقلنا يـٰـٔادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هـٰذه الشجرة فتكونا من الظـٰلمين,Tafsir text placeholder for verse 2:35
2:36,فازلهما الشيطـٰن عنها فاخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم فى الارض مستقر ومتـٰع الىٰ حين,Tafsir text placeholder for verse 2:36
2:37,فتلقىٰ ءادم من ربه كلمـٰت فتاب عليه ۚ انه هو التواب الرحيم,Tafsir text placeholder for verse 2:37
2:38,قلنا اهبطوا منها جميعا ۖ فاما ياتينكم منى هدى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:38
2:39,والذين كفروا وكذبوا بـٔايـٰتنا اولـٰئك اصحـٰب النار ۖ هم فيها خـٰلدون,Tafsir text placeholder for verse 2:39
2:40,يـٰبنى اسرٰءيل اذكروا نعمتى التى انعمت عليكم واوفوا بعهدى اوف بعهدكم وايـٰى فارهبون,Tafsir text placeholder for verse 2:40
2:41,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ۖ ولا تشتروا بـٔايـٰتى ثمنا قليلا وايـٰى فاتقون,Tafsir text placeholder for verse 2:41
2:42,ولا تلبسوا الحق بالبـٰطل وتكتموا الحق وانتم تعلمون,Tafsir text placeholder for verse 2:42
2:43,واقيموا الصلوٰة وءاتوا الزكوٰة واركعوا مع الرٰكعين,Tafsir text placeholder for verse 2:43
2:44,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتـٰب ۚ افلا تعقلون,Tafsir text placeholder for verse 2:44
2:45,واستعينوا بالصبر والصلوٰة ۚ وانها لكبيرة الا على الخـٰشعين,Tafsir text placeholder for verse 2:45
2:46,الذين يظنون انهم ملـٰقوا ربهم وانهم اليه رٰجعون,Tafsir text placeholder for verse 2:46
2:47,يـٰبنى اسرٰءيل اذكروا نعمتى التى انعمت عليكم وانى فضلتكم على العـٰلمين,Tafsir text placeholder for verse 2:47
2:48,واتقوا يوما لا تجزى نفس عن نفس شيـٔا ولا يقبل منها شفـٰعة ولا يؤخذ منها عدل ولا هم ينصرون,Tafsir text placeholder for verse 2:48
2:49,واذ نجينـٰكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم ۚ وفى ذٰلكم بلاء من ربكم عظيم,Tafsir text placeholder for verse 2:49
2:50,واذ فرقنا بكم البحر فانجينـٰكم واغرقنا ءال فرعون وانتم تنظرون,Tafsir text placeholder for verse 2:50
2:51,واذ وٰعدنا موسىٰ اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظـٰلمون,Tafsir text placeholder for verse 2:51
2:52,ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون,Tafsir text placeholder for verse 2:52
2:53,واذ ءاتينا موسى الكتـٰب والفرقان لعلكم تهتدون,Tafsir text placeholder for verse 2:53
2:54,واذ قال موسىٰ لقومه يـٰقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الىٰ بارئكم فاقتلوا انفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم ۚ انه هو التواب الرحيم,Tafsir text placeholder for verse 2:54
2:55,واذ قلتم يـٰموسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فاخذتكم الصـٰعقة وانتم تنظرون,Tafsir text placeholder for verse 2:55
2:56,ثم بعثنـٰكم من بعد موتكم لعلكم تشكرون,Tafsir text placeholder for verse 2:56
2:57,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوىٰ ۖ كلوا من طيبـٰت ما رزقنـٰكم ۖ وما ظلمونا ولـٰكن كانوا انفسهم يظلمون,Tafsir text placeholder for verse 2:57
2:58,واذ قلنا ادخلوا هـٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطـٰيـٰكم ۚ وسنزيد المحسنين,Tafsir text placeholder for verse 2:58
2:59,فبدل الذين ظلموا قولا غير الذى قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,Tafsir text placeholder for verse 2:59
2:60,واذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشرة عينا ۖ قد علم كل اناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا فى الارض مفسدين,Tafsir text placeholder for verse 2:60
2:61,واذ قلتم يـٰموسىٰ لن نصبر علىٰ طعام وٰحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال اتستبدلون الذى هو ادنىٰ بالذى هو خير ۚ اهبطوا مصرا فان لكم ما سالتم ۗ وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ۗ ذٰلك بانهم كانوا يكفرون بـٔايـٰت الله ويقتلون النبيـۧن بغير الحق ۗ ذٰلك بما عصوا وكانوا يعتدون,Tafsir text placeholder for verse 2:61
2:62,ان الذين ءامنوا والذين هادوا والنصـٰرىٰ والصـٰبـٔين من ءامن بالله واليوم الـٔاخر وعمل صـٰلحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:62
2:63,واذ اخذنا ميثـٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينـٰكم بقوة واذكروا ما فيه لعلكم تتقون,Tafsir text placeholder for verse 2:63
2:64,ثم توليتم من بعد ذٰلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخـٰسرين,Tafsir text placeholder for verse 2:64
2:65,ولقد علمتم الذين اعتدوا منكم فى السبت فقلنا لهم كونوا قردة خـٰسـٔين,Tafsir text placeholder for verse 2:65
2:66,فجعلنـٰها نكـٰلا لما بين يديها وما خلفها وموعظة للمتقين,Tafsir text placeholder for verse 2:66
2:67,واذ قال موسىٰ لقومه ان الله يامركم ان تذبحوا بقرة ۖ قالوا اتتخذنا هزوا ۖ قال اعوذ بالله ان اكون من الجـٰهلين,Tafsir text placeholder for verse 2:67
2:68,قالوا ادع لنا ربك يبين لنا ما هى ۚ قال انه يقول انها بقرة لا فارض ولا بكر عوان بين ذٰلك ۖ فافعلوا ما تؤمرون,Tafsir text placeholder for verse 2:68
2:69,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال انه يقول انها بقرة صفراء فاقع لونها تسر النـٰظرين,Tafsir text placeholder for verse 2:69
2:70,قالوا ادع لنا ربك يبين لنا ما هى ان البقر تشـٰبه علينا وانا ان شاء الله لمهتدون,Tafsir text placeholder for verse 2:70
2:71,قال انه يقول انها بقرة لا ذلول تثير الارض ولا تسقى الحرث مسلمة لا شية فيها ۚ قالوا الـٔـٰن جئت بالحق ۚ فذبحوها وما كادوا يفعلون,Tafsir text placeholder for verse 2:71
2:72,واذ قتلتم نفسا فادٰرءتم فيها ۖ والله مخرج ما كنتم تكتمون,Tafsir text placeholder for verse 2:72
2:73,فقلنا اضربوه ببعضها ۚ كذٰلك يحى الله الموتىٰ ويريكم ءايـٰته لعلكم تعقلون,Tafsir text placeholder for verse 2:73
2:74,ثم قست قلوبكم من بعد ذٰلك فهى كالحجارة او اشد قسوة ۚ وان من الحجارة لما يتفجر منه الانهـٰر ۚ وان منها لما يشقق فيخرج منه الماء ۚ وان منها لما يهبط من خشية الله ۗ وما الله بغـٰفل عما تعملون,Tafsir text placeholder for verse 2:74
2:75,افتطمعون ان يؤمنوا لكم وقد كان فريق منهم يسمعون كلـٰم الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,Tafsir text placeholder for verse 2:75
2:76,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلا بعضهم الىٰ بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ افلا تعقلون,Tafsir text placeholder for verse 2:76
2:77,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون,Tafsir text placeholder for verse 2:77
2:78,ومنهم اميون لا يعلمون الكتـٰب الا امانى وان هم الا يظنون,Tafsir text placeholder for verse 2:78
2:79,فويل للذين يكتبون الكتـٰب بايديهم ثم يقولون هـٰذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون,Tafsir text placeholder for verse 2:79
2:80,وقالوا لن تمسنا النار الا اياما معدودة ۚ قل اتخذتم عند الله عهدا فلن يخلف الله عهده ۖ ام تقولون على الله ما لا تعلمون,Tafsir text placeholder for verse 2:80
2:81,بلىٰ من كسب سيئة واحـٰطت به خطيـٔته فاولـٰئك اصحـٰب النار ۖ هم فيها خـٰلدون,Tafsir text placeholder for verse 2:81
2:82,والذين ءامنوا وعملوا الصـٰلحـٰت اولـٰئك اصحـٰب الجنة ۖ هم فيها خـٰلدون,Tafsir text placeholder for verse 2:82
2:83,واذ اخذنا ميثـٰق بنى اسرٰءيل لا تعبدون الا الله وبالوٰلدين احسانا وذى القربىٰ واليتـٰمىٰ والمسـٰكين وقولوا للناس حسنا واقيموا الصلوٰة وءاتوا الزكوٰة ثم توليتم الا قليلا منكم وانتم معرضون,Tafsir text placeholder for verse 2:83
2:84,واذ اخذنا ميثـٰقكم لا تسفكون دماءكم ولا تخرجون انفسكم من ديـٰركم ثم اقررتم وانتم تشهدون,Tafsir text placeholder for verse 2:84
2:85,ثم انتم هـٰؤلاء تقتلون انفسكم وتخرجون فريقا منكم من ديـٰرهم تظـٰهرون عليهم بالاثم والعدوٰن وان ياتوكم اسـٰرىٰ تفـٰدوهم وهو محرم عليكم اخراجهم ۚ افتؤمنون ببعض الكتـٰب وتكفرون ببعض ۚ فما جزاء من يفعل ذٰلك منكم الا خزى فى الحيوٰة الدنيا ۖ ويوم القيـٰمة يردون الىٰ اشد العذاب ۗ وما الله بغـٰفل عما تعملون,Tafsir text placeholder for verse 2:85
2:86,اولـٰئك الذين اشتروا الحيوٰة الدنيا بالـٔاخرة ۖ فلا يخفف عنهم العذاب ولا هم ينصرون,Tafsir text placeholder for verse 2:86
2:87,ولقد ءاتينا موسى الكتـٰب وقفينا من بعده بالرسل ۖ وءاتينا عيسى ابن مريم البينـٰت وايدنـٰه بروح القدس ۗ افكلما جاءكم رسول بما لا تهوىٰ انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,Tafsir text placeholder for verse 2:87
2:88,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يؤمنون,Tafsir text placeholder for verse 2:88
2:89,ولما جاءهم كتـٰب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنة الله على الكـٰفرين,Tafsir text placeholder for verse 2:89
2:90,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علىٰ من يشاء من عباده ۖ فباءو بغضب علىٰ غضب ۚ وللكـٰفرين عذاب مهين,Tafsir text placeholder for verse 2:90
2:91,واذا قيل لهم ءامنوا بما انزل الله قالوا نؤمن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون انبياء الله من قبل ان كنتم مؤمنين,Tafsir text placeholder for verse 2:91
2:92,ولقد جاءكم موسىٰ بالبينـٰت ثم اتخذتم العجل من بعده وانتم ظـٰلمون,Tafsir text placeholder for verse 2:92
2:93,واذ اخذنا ميثـٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينـٰكم بقوة واسمعوا ۖ قالوا سمعنا وعصينا واشربوا فى قلوبهم العجل بكفرهم ۚ قل بئسما يامركم به ايمـٰنكم ان كنتم مؤمنين,Tafsir text placeholder for verse 2:93
2:94,قل ان كانت لكم الدار الـٔاخرة عند الله خالصة من دون الناس فتمنوا الموت ان كنتم صـٰدقين,Tafsir text placeholder for verse 2:94
2:95,ولن يتمنوه ابدا بما قدمت ايديهم ۗ والله عليم بالظـٰلمين,Tafsir text placeholder for verse 2:95
2:96,ولتجدنهم احرص الناس علىٰ حيوٰة ومن الذين اشركوا ۚ يود احدهم لو يعمر الف سنة وما هو بمزحزحه من العذاب ان يعمر ۗ والله بصير بما يعملون,Tafsir text placeholder for verse 2:96
2:97,قل من كان عدوا لجبريل فانه نزله علىٰ قلبك باذن الله مصدقا لما بين يديه وهدى وبشرىٰ للمؤمنين,Tafsir text placeholder for verse 2:97
2:98,من كان عدوا لله وملـٰئكته ورسله وجبريل وميكىٰل فان الله عدو للكـٰفرين,Tafsir text placeholder for verse 2:98
2:99,ولقد انزلنا اليك ءايـٰت بينـٰت ۖ وما يكفر بها الا الفـٰسقون,Tafsir text placeholder for verse 2:99
2:100,اوكلما عـٰهدوا عهدا نبذه فريق منهم ۚ بل اكثرهم لا يؤمنون,Tafsir text placeholder for verse 2:100
2:101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتـٰب كتـٰب الله وراء ظهورهم كانهم لا يعلمون,Tafsir text placeholder for verse 2:101
2:102,واتبعوا ما تتلوا الشيـٰطين علىٰ ملك سليمـٰن ۖ وما كفر سليمـٰن ولـٰكن الشيـٰطين كفروا يعلمون الناس السحر وما انزل على الملكين ببابل هـٰروت ومـٰروت ۚ وما يعلمان من احد حتىٰ يقولا انما نحن فتنة فلا تكفر ۖ فيتعلمون منهما ما يفرقون به بين المرء وزوجه ۚ وما هم بضارين به من احد الا باذن الله ۚ ويتعلمون ما يضرهم ولا ينفعهم ۚ ولقد علموا لمن اشترىٰه ما له فى الـٔاخرة من خلـٰق ۚ ولبئس ما شروا به انفسهم ۚ لو كانوا يعلمون,Tafsir text placeholder for verse 2:102
2:103,ولو انهم ءامنوا واتقوا لمثوبة من عند الله خير ۖ لو كانوا يعلمون,Tafsir text placeholder for verse 2:103
2:104,يـٰايها الذين ءامنوا لا تقولوا رٰعنا وقولوا انظرنا واسمعوا ۗ وللكـٰفرين عذاب اليم,Tafsir text placeholder for verse 2:104
2:105,ما يود الذين كفروا من اهل الكتـٰب ولا المشركين ان ينزل عليكم من خير من ربكم ۗ والله يختص برحمته من يشاء ۚ والله ذو الفضل العظيم,Tafsir text placeholder for verse 2:105
2:106,ما ننسخ من ءاية او ننسها نات بخير منها او مثلها ۗ الم تعلم ان الله علىٰ كل شىء قدير,Tafsir text placeholder for verse 2:106
2:107,الم تعلم ان الله له ملك السمـٰوٰت والارض ۗ وما لكم من دون الله من ولى ولا نصير,Tafsir text placeholder for verse 2:107
2:108,ام تريدون ان تسـٔلوا رسولكم كما سئل موسىٰ من قبل ۗ ومن يتبدل الكفر بالايمـٰن فقد ضل سواء السبيل,Tafsir text placeholder for verse 2:108
2:109,ود كثير من اهل الكتـٰب لو يردونكم من بعد ايمـٰنكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق ۖ فاعفوا واصفحوا حتىٰ ياتى الله بامره ۗ ان الله علىٰ كل شىء قدير,Tafsir text placeholder for verse 2:109
2:110,واقيموا الصلوٰة وءاتوا الزكوٰة ۚ وما تقدموا لانفسكم من خير تجدوه عند الله ۗ ان الله بما تعملون بصير,Tafsir text placeholder for verse 2:110
2:111,وقالوا لن يدخل الجنة الا من كان هودا او نصـٰرىٰ ۗ تلك امانيهم ۗ قل هاتوا برهـٰنكم ان كنتم صـٰدقين,Tafsir text placeholder for verse 2:111
2:112,بلىٰ من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون,Tafsir text placeholder for verse 2:112
2:113,وقالت اليهود ليست النصـٰرىٰ علىٰ شىء وقالت النصـٰرىٰ ليست اليهود علىٰ شىء وهم يتلون الكتـٰب ۗ كذٰلك قال الذين لا يعلمون مثل قولهم ۚ فالله يحكم بينهم يوم القيـٰمة فيما كانوا فيه يختلفون,Tafsir text placeholder for verse 2:113
2:114,ومن اظلم ممن منع مسـٰجد الله ان يذكر فيها اسمه وسعىٰ فى خرابها ۚ اولـٰئك ما كان لهم ان يدخلوها الا خائفين ۚ لهم فى الدنيا خزى ولهم فى الـٔاخرة عذاب عظيم,Tafsir text placeholder for verse 2:114
2:115,ولله المشرق والمغرب ۚ فاينما تولوا فثم وجه الله ۚ ان الله وٰسع عليم,Tafsir text placeholder for verse 2:115
2:116,وقالوا اتخذ الله ولدا ۗ سبحـٰنه ۖ بل له ما فى السمـٰوٰت والارض ۖ كل له قـٰنتون,Tafsir text placeholder for verse 2:116
2:117,بديع السمـٰوٰت والارض ۖ واذا قضىٰ امرا فانما يقول له كن فيكون,Tafsir text placeholder for verse 2:117
2:118,وقال الذين لا يعلمون لولا يكلمنا الله او تاتينا ءاية ۗ كذٰلك قال الذين من قبلهم مثل قولهم ۘ تشـٰبهت قلوبهم ۗ قد بينا الـٔايـٰت لقوم يوقنون,Tafsir text placeholder for verse 2:118
2:119,انا ارسلنـٰك بالحق بشيرا ونذيرا ۖ ولا تسـٔل عن اصحـٰب الجحيم,Tafsir text placeholder for verse 2:119
2:120,ولن ترضىٰ عنك اليهود ولا النصـٰرىٰ حتىٰ تتبع ملتهم ۗ قل ان هدى الله هو الهدىٰ ۗ ولئن اتبعت اهواءهم بعد الذى جاءك من العلم ۙ ما لك من الله من ولى ولا نصير,Tafsir text placeholder for verse 2:120
2:121,الذين ءاتينـٰهم الكتـٰب يتلونه حق تلاوته اولـٰئك يؤمنون به ۗ ومن يكفر به فاولـٰئك هم الخـٰسرون,Tafsir text placeholder for verse 2:121
2:122,يـٰبنى اسرٰءيل اذكروا نعمتى التى انعمت عليكم وانى فضلتكم على العـٰلمين,Tafsir text placeholder for verse 2:122
2:123,واتقوا يوما لا تجزى نفس عن نفس شيـٔا ولا يقبل منها عدل ولا تنفعها شفـٰعة ولا هم ينصرون,Tafsir text placeholder for verse 2:123
2:124,واذ ابتلىٰ ابرٰهـۧم ربه بكلمـٰت فاتمهن ۖ قال انى جاعلك للناس اماما ۖ قال ومن ذريتى ۖ قال لا ينال عهدى الظـٰلمين,Tafsir text placeholder for verse 2:124
2:125,واذ جعلنا البيت مثابة للناس وامنا واتخذوا من مقام ابرٰهـۧم مصلى ۖ وعهدنا الىٰ ابرٰهـۧم واسمـٰعيل ان طهرا بيتى للطائفين والعـٰكفين والركع السجود,Tafsir text placeholder for verse 2:125
2:126,واذ قال ابرٰهـۧم رب اجعل هـٰذا بلدا ءامنا وارزق اهله من الثمرٰت من ءامن منهم بالله واليوم الـٔاخر ۖ قال ومن كفر فامتعه قليلا ثم اضطره الىٰ عذاب النار ۖ وبئس المصير,Tafsir text placeholder for verse 2:126
2:127,واذ يرفع ابرٰهـۧم القواعد من البيت واسمـٰعيل ربنا تقبل منا ۖ انك انت السميع العليم,Tafsir text placeholder for verse 2:127
2:128,ربنا واجعلنا مسلمين لك ومن ذريتنا امة مسلمة لك وارنا مناسكنا وتب علينا ۖ انك انت التواب الرحيم,Tafsir text placeholder for verse 2:128
2:129,ربنا وابعث فيهم رسولا منهم يتلوا عليهم ءايـٰتك ويعلمهم الكتـٰب والحكمة ويزكيهم ۚ انك انت العزيز الحكيم,Tafsir text placeholder for verse 2:129
2:130,ومن يرغب عن ملة ابرٰهـۧم الا من سفه نفسه ۚ ولقد اصطفينـٰه فى الدنيا ۖ وانه فى الـٔاخرة لمن الصـٰلحين,Tafsir text placeholder for verse 2:130
2:131,اذ قال له ربه اسلم ۖ قال اسلمت لرب العـٰلمين,Tafsir text placeholder for verse 2:131
2:132,ووصىٰ بها ابرٰهـۧم بنيه ويعقوب يـٰبنى ان الله اصطفىٰ لكم الدين فلا تموتن الا وانتم مسلمون,Tafsir text placeholder for verse 2:132
2:133,ام كنتم شهداء اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدى قالوا نعبد الـٰهك والـٰه ءابائك ابرٰهـۧم واسمـٰعيل واسحـٰق الـٰها وٰحدا ونحن له مسلمون,Tafsir text placeholder for verse 2:133
2:134,تلك امة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسـٔلون عما كانوا يعملون,Tafsir text placeholder for verse 2:134
2:135,وقالوا كونوا هودا او نصـٰرىٰ تهتدوا ۗ قل بل ملة ابرٰهـۧم حنيفا ۖ وما كان من المشركين,Tafsir text placeholder for verse 2:135
2:136,قولوا ءامنا بالله وما انزل الينا وما انزل الىٰ ابرٰهـۧم واسمـٰعيل واسحـٰق ويعقوب والاسباط وما اوتى موسىٰ وعيسىٰ وما اوتى النبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون,Tafsir text placeholder for verse 2:136
2:137,فان ءامنوا بمثل ما ءامنتم به فقد اهتدوا ۖ وان تولوا فانما هم فى شقاق ۖ فسيكفيكهم الله ۚ وهو السميع العليم,Tafsir text placeholder for verse 2:137
2:138,صبغة الله ۖ ومن احسن من الله صبغة ۖ ونحن له عـٰبدون,Tafsir text placeholder for verse 2:138
2:139,قل اتحاجوننا فى الله وهو ربنا وربكم ولنا اعمـٰلنا ولكم اعمـٰلكم ونحن له مخلصون,Tafsir text placeholder for verse 2:139
2:140,ام تقولون ان ابرٰهـۧم واسمـٰعيل واسحـٰق ويعقوب والاسباط كانوا هودا او نصـٰرىٰ ۗ قل ءانتم اعلم ام الله ۗ ومن اظلم ممن كتم شهـٰدة عنده من الله ۗ وما الله بغـٰفل عما تعملون,Tafsir text placeholder for verse 2:140
2:141,تلك امة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسـٔلون عما كانوا يعملون,Tafsir text placeholder for verse 2:141
