verse_key,text_original,clean_verse
2:22,الَّذى جَعَلَ لَكُمُ الأَرضَ فِرٰشًا وَالسَّماءَ بِناءً وَأَنزَلَ مِنَ السَّماءِ ماءً فَأَخرَجَ بِهِ مِنَ الثَّمَرٰتِ رِزقًا لَكُم ۖ فَلا تَجعَلوا لِلَّهِ أَندادًا وَأَنتُم تَعلَمونَ,الذى جعل لكم الارض فرٰشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرٰت رزقا لكم ۖ فلا تجعلوا لله اندادا وانتم تعلمون
2:23,وَإِن كُنتُم فى رَيبٍ مِمّا نَزَّلنا عَلىٰ عَبدِنا فَأتوا بِسورَةٍ مِن مِثلِهِ وَادعوا شُهَداءَكُم مِن دونِ اللَّهِ إِن كُنتُم صـٰدِقينَ,وان كنتم فى ريب مما نزلنا علىٰ عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صـٰدقين
2:24,فَإِن لَم تَفعَلوا وَلَن تَفعَلوا فَاتَّقُوا النّارَ الَّتى وَقودُهَا النّاسُ وَالحِجارَةُ ۖ أُعِدَّت لِلكـٰفِرينَ,فان لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة ۖ اعدت للكـٰفرين
2:25,وَبَشِّرِ الَّذينَ ءامَنوا وَعَمِلُوا الصّـٰلِحـٰتِ أَنَّ لَهُم جَنّـٰتٍ تَجرى مِن تَحتِهَا الأَنهـٰرُ ۖ كُلَّما رُزِقوا مِنها مِن ثَمَرَةٍ رِزقًا ۙ قالوا هـٰذَا الَّذى رُزِقنا مِن قَبلُ ۖ وَأُتوا بِهِ مُتَشـٰبِهًا ۖ وَلَهُم فيها أَزوٰجٌ مُطَهَّرَةٌ ۖ وَهُم فيها خـٰلِدونَ,وبشر الذين ءامنوا وعملوا الصـٰلحـٰت ان لهم جنـٰت تجرى من تحتها الانهـٰر ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هـٰذا الذى رزقنا من قبل ۖ واتوا به متشـٰبها ۖ ولهم فيها ازوٰج مطهرة ۖ وهم فيها خـٰلدون
2:26,إِنَّ اللَّهَ لا يَستَحيۦ أَن يَضرِبَ مَثَلًا ما بَعوضَةً فَما فَوقَها ۚ فَأَمَّا الَّذينَ ءامَنوا فَيَعلَمونَ أَنَّهُ الحَقُّ مِن رَبِّهِم ۖ وَأَمَّا الَّذينَ كَفَروا فَيَقولونَ ماذا أَرادَ اللَّهُ بِهـٰذا مَثَلًا ۘ يُضِلُّ بِهِ كَثيرًا وَيَهدى بِهِ كَثيرًا ۚ وَما يُضِلُّ بِهِ إِلَّا الفـٰسِقينَ,ان الله لا يستحيۦ ان يضرب مثلا ما بعوضة فما فوقها ۚ فاما الذين ءامنوا فيعلمون انه الحق من ربهم ۖ واما الذين كفروا فيقولون ماذا اراد الله بهـٰذا مثلا ۘ يضل به كثيرا ويهدى به كثيرا ۚ وما يضل به الا الفـٰسقين
2:27,الَّذينَ يَنقُضونَ عَهدَ اللَّهِ مِن بَعدِ ميثـٰقِهِ وَيَقطَعونَ ما أَمَرَ اللَّهُ بِهِ أَن يوصَلَ وَيُفسِدونَ فِى الأَرضِ ۚ أُولـٰئِكَ هُمُ الخـٰسِرونَ,الذين ينقضون عهد الله من بعد ميثـٰقه ويقطعون ما امر الله به ان يوصل ويفسدون فى الارض ۚ اولـٰئك هم الخـٰسرون
2:28,كَيفَ تَكفُرونَ بِاللَّهِ وَكُنتُم أَموٰتًا فَأَحيـٰكُم ۖ ثُمَّ يُميتُكُم ثُمَّ يُحييكُم ثُمَّ إِلَيهِ تُرجَعونَ,كيف تكفرون بالله وكنتم اموٰتا فاحيـٰكم ۖ ثم يميتكم ثم يحييكم ثم اليه ترجعون
2:29,هُوَ الَّذى خَلَقَ لَكُم ما فِى الأَرضِ جَميعًا ثُمَّ استَوىٰ إِلَى السَّماءِ فَسَوّىٰهُنَّ سَبعَ سَمـٰوٰتٍ ۚ وَهُوَ بِكُلِّ شَىءٍ عَليمٌ,هو الذى خلق لكم ما فى الارض جميعا ثم استوىٰ الى السماء فسوىٰهن سبع سمـٰوٰت ۚ وهو بكل شىء عليم
2:30,وَإِذ قالَ رَبُّكَ لِلمَلـٰئِكَةِ إِنّى جاعِلٌ فِى الأَرضِ خَليفَةً ۖ قالوا أَتَجعَلُ فيها مَن يُفسِدُ فيها وَيَسفِكُ الدِّماءَ وَنَحنُ نُسَبِّحُ بِحَمدِكَ وَنُقَدِّسُ لَكَ ۖ قالَ إِنّى أَعلَمُ ما لا تَعلَمونَ,واذ قال ربك للملـٰئكة انى جاعل فى الارض خليفة ۖ قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال انى اعلم ما لا تعلمون
2:31,وَعَلَّمَ ءادَمَ الأَسماءَ كُلَّها ثُمَّ عَرَضَهُم عَلَى المَلـٰئِكَةِ فَقالَ أَنبِـٔونى بِأَسماءِ هـٰؤُلاءِ إِن كُنتُم صـٰدِقينَ,وعلم ءادم الاسماء كلها ثم عرضهم على الملـٰئكة فقال انبـٔونى باسماء هـٰؤلاء ان كنتم صـٰدقين
2:32,قالوا سُبحـٰنَكَ لا عِلمَ لَنا إِلّا ما عَلَّمتَنا ۖ إِنَّكَ أَنتَ العَليمُ الحَكيمُ,قالوا سبحـٰنك لا علم لنا الا ما علمتنا ۖ انك انت العليم الحكيم
2:33,قالَ يـٰـٔادَمُ أَنبِئهُم بِأَسمائِهِم ۖ فَلَمّا أَنبَأَهُم بِأَسمائِهِم قالَ أَلَم أَقُل لَكُم إِنّى أَعلَمُ غَيبَ السَّمـٰوٰتِ وَالأَرضِ وَأَعلَمُ ما تُبدونَ وَما كُنتُم تَكتُمونَ,قال يـٰـٔادم انبئهم باسمائهم ۖ فلما انباهم باسمائهم قال الم اقل لكم انى اعلم غيب السمـٰوٰت والارض واعلم ما تبدون وما كنتم تكتمون
2:34,وَإِذ قُلنا لِلمَلـٰئِكَةِ اسجُدوا لِـٔادَمَ فَسَجَدوا إِلّا إِبليسَ أَبىٰ وَاستَكبَرَ وَكانَ مِنَ الكـٰفِرينَ,واذ قلنا للملـٰئكة اسجدوا لـٔادم فسجدوا الا ابليس ابىٰ واستكبر وكان من الكـٰفرين
2:35,وَقُلنا يـٰـٔادَمُ اسكُن أَنتَ وَزَوجُكَ الجَنَّةَ وَكُلا مِنها رَغَدًا حَيثُ شِئتُما وَلا تَقرَبا هـٰذِهِ الشَّجَرَةَ فَتَكونا مِنَ الظّـٰلِمينَ,وقلنا يـٰـٔادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هـٰذه الشجرة فتكونا من الظـٰلمين
2:36,فَأَزَلَّهُمَا الشَّيطـٰنُ عَنها فَأَخرَجَهُما مِمّا كانا فيهِ ۖ وَقُلنَا اهبِطوا بَعضُكُم لِبَعضٍ عَدُوٌّ ۖ وَلَكُم فِى الأَرضِ مُستَقَرٌّ وَمَتـٰعٌ إِلىٰ حينٍ,فازلهما الشيطـٰن عنها فاخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم فى الارض مستقر ومتـٰع الىٰ حين
2:37,فَتَلَقّىٰ ءادَمُ مِن رَبِّهِ كَلِمـٰتٍ فَتابَ عَلَيهِ ۚ إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ,فتلقىٰ ءادم من ربه كلمـٰت فتاب عليه ۚ انه هو التواب الرحيم
2:38,قُلنَا اهبِطوا مِنها جَميعًا ۖ فَإِمّا يَأتِيَنَّكُم مِنّى هُدًى فَمَن تَبِعَ هُداىَ فَلا خَوفٌ عَلَيهِم وَلا هُم يَحزَنونَ,قلنا اهبطوا منها جميعا ۖ فاما ياتينكم منى هدى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون
2:39,وَالَّذينَ كَفَروا وَكَذَّبوا بِـٔايـٰتِنا أُولـٰئِكَ أَصحـٰبُ النّارِ ۖ هُم فيها خـٰلِدونَ,والذين كفروا وكذبوا بـٔايـٰتنا اولـٰئك اصحـٰب النار ۖ هم فيها خـٰلدون
2:40,يـٰبَنى إِسرٰءيلَ اذكُروا نِعمَتِىَ الَّتى أَنعَمتُ عَلَيكُم وَأَوفوا بِعَهدى أوفِ بِعَهدِكُم وَإِيّـٰىَ فَارهَبونِ,يـٰبنى اسرٰءيل اذكروا نعمتى التى انعمت عليكم واوفوا بعهدى اوف بعهدكم وايـٰى فارهبون
2:41,وَءامِنوا بِما أَنزَلتُ مُصَدِّقًا لِما مَعَكُم وَلا تَكونوا أَوَّلَ كافِرٍ بِهِ ۖ وَلا تَشتَروا بِـٔايـٰتى ثَمَنًا قَليلًا وَإِيّـٰىَ فَاتَّقونِ,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ۖ ولا تشتروا بـٔايـٰتى ثمنا قليلا وايـٰى فاتقون
2:42,وَلا تَلبِسُوا الحَقَّ بِالبـٰطِلِ وَتَكتُمُوا الحَقَّ وَأَنتُم تَعلَمونَ,ولا تلبسوا الحق بالبـٰطل وتكتموا الحق وانتم تعلمون
2:43,وَأَقيمُوا الصَّلوٰةَ وَءاتُوا الزَّكوٰةَ وَاركَعوا مَعَ الرّٰكِعينَ,واقيموا الصلوٰة وءاتوا الزكوٰة واركعوا مع الرٰكعين
2:44,أَتَأمُرونَ النّاسَ بِالبِرِّ وَتَنسَونَ أَنفُسَكُم وَأَنتُم تَتلونَ الكِتـٰبَ ۚ أَفَلا تَعقِلونَ,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتـٰب ۚ افلا تعقلون
2:45,وَاستَعينوا بِالصَّبرِ وَالصَّلوٰةِ ۚ وَإِنَّها لَكَبيرَةٌ إِلّا عَلَى الخـٰشِعينَ,واستعينوا بالصبر والصلوٰة ۚ وانها لكبيرة الا على الخـٰشعين
2:46,الَّذينَ يَظُنّونَ أَنَّهُم مُلـٰقوا رَبِّهِم وَأَنَّهُم إِلَيهِ رٰجِعونَ,الذين يظنون انهم ملـٰقوا ربهم وانهم اليه رٰجعون
2:47,يـٰبَنى إِسرٰءيلَ اذكُروا نِعمَتِىَ الَّتى أَنعَمتُ عَلَيكُم وَأَنّى فَضَّلتُكُم عَلَى العـٰلَمينَ,يـٰبنى اسرٰءيل اذكروا نعمتى التى انعمت عليكم وانى فضلتكم على العـٰلمين
2:48,وَاتَّقوا يَومًا لا تَجزى نَفسٌ عَن نَفسٍ شَيـًٔا وَلا يُقبَلُ مِنها شَفـٰعَةٌ وَلا يُؤخَذُ مِنها عَدلٌ وَلا هُم يُنصَرونَ,واتقوا يوما لا تجزى نفس عن نفس شيـٔا ولا يقبل منها شفـٰعة ولا يؤخذ منها عدل ولا هم ينصرون
2:49,وَإِذ نَجَّينـٰكُم مِن ءالِ فِرعَونَ يَسومونَكُم سوءَ العَذابِ يُذَبِّحونَ أَبناءَكُم وَيَستَحيونَ نِساءَكُم ۚ وَفى ذٰلِكُم بَلاءٌ مِن رَبِّكُم عَظيمٌ,واذ نجينـٰكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم ۚ وفى ذٰلكم بلاء من ربكم عظيم
2:50,وَإِذ فَرَقنا بِكُمُ البَحرَ فَأَنجَينـٰكُم وَأَغرَقنا ءالَ فِرعَونَ وَأَنتُم تَنظُرونَ,واذ فرقنا بكم البحر فانجينـٰكم واغرقنا ءال فرعون وانتم تنظرون
2:51,وَإِذ وٰعَدنا موسىٰ أَربَعينَ لَيلَةً ثُمَّ اتَّخَذتُمُ العِجلَ مِن بَعدِهِ وَأَنتُم ظـٰلِمونَ,واذ وٰعدنا موسىٰ اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظـٰلمون
2:52,ثُمَّ عَفَونا عَنكُم مِن بَعدِ ذٰلِكَ لَعَلَّكُم تَشكُرونَ,ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون
2:53,وَإِذ ءاتَينا موسَى الكِتـٰبَ وَالفُرقانَ لَعَلَّكُم تَهتَدونَ,واذ ءاتينا موسى الكتـٰب والفرقان لعلكم تهتدون
2:54,وَإِذ قالَ موسىٰ لِقَومِهِ يـٰقَومِ إِنَّكُم ظَلَمتُم أَنفُسَكُم بِاتِّخاذِكُمُ العِجلَ فَتوبوا إِلىٰ بارِئِكُم فَاقتُلوا أَنفُسَكُم ذٰلِكُم خَيرٌ لَكُم عِندَ بارِئِكُم فَتابَ عَلَيكُم ۚ إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ,واذ قال موسىٰ لقومه يـٰقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الىٰ بارئكم فاقتلوا انفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم ۚ انه هو التواب الرحيم
2:55,وَإِذ قُلتُم يـٰموسىٰ لَن نُؤمِنَ لَكَ حَتّىٰ نَرَى اللَّهَ جَهرَةً فَأَخَذَتكُمُ الصّـٰعِقَةُ وَأَنتُم تَنظُرونَ,واذ قلتم يـٰموسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فاخذتكم الصـٰعقة وانتم تنظرون
2:56,ثُمَّ بَعَثنـٰكُم مِن بَعدِ مَوتِكُم لَعَلَّكُم تَشكُرونَ,ثم بعثنـٰكم من بعد موتكم لعلكم تشكرون
2:57,وَظَلَّلنا عَلَيكُمُ الغَمامَ وَأَنزَلنا عَلَيكُمُ المَنَّ وَالسَّلوىٰ ۖ كُلوا مِن طَيِّبـٰتِ ما رَزَقنـٰكُم ۖ وَما ظَلَمونا وَلـٰكِن كانوا أَنفُسَهُم يَظلِمونَ,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوىٰ ۖ كلوا من طيبـٰت ما رزقنـٰكم ۖ وما ظلمونا ولـٰكن كانوا انفسهم يظلمون
2:58,وَإِذ قُلنَا ادخُلوا هـٰذِهِ القَريَةَ فَكُلوا مِنها حَيثُ شِئتُم رَغَدًا وَادخُلُوا البابَ سُجَّدًا وَقولوا حِطَّةٌ نَغفِر لَكُم خَطـٰيـٰكُم ۚ وَسَنَزيدُ المُحسِنينَ,واذ قلنا ادخلوا هـٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطـٰيـٰكم ۚ وسنزيد المحسنين
2:59,فَبَدَّلَ الَّذينَ ظَلَموا قَولًا غَيرَ الَّذى قيلَ لَهُم فَأَنزَلنا عَلَى الَّذينَ ظَلَموا رِجزًا مِنَ السَّماءِ بِما كانوا يَفسُقونَ,فبدل الذين ظلموا قولا غير الذى قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
2:60,وَإِذِ استَسقىٰ موسىٰ لِقَومِهِ فَقُلنَا اضرِب بِعَصاكَ الحَجَرَ ۖ فَانفَجَرَت مِنهُ اثنَتا عَشرَةَ عَينًا ۖ قَد عَلِمَ كُلُّ أُناسٍ مَشرَبَهُم ۖ كُلوا وَاشرَبوا مِن رِزقِ اللَّهِ وَلا تَعثَوا فِى الأَرضِ مُفسِدينَ,واذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشرة عينا ۖ قد علم كل اناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا فى الارض مفسدين
2:61,وَإِذ قُلتُم يـٰموسىٰ لَن نَصبِرَ عَلىٰ طَعامٍ وٰحِدٍ فَادعُ لَنا رَبَّكَ يُخرِج لَنا مِمّا تُنبِتُ الأَرضُ مِن بَقلِها وَقِثّائِها وَفومِها وَعَدَسِها وَبَصَلِها ۖ قالَ أَتَستَبدِلونَ الَّذى هُوَ أَدنىٰ بِالَّذى هُوَ خَيرٌ ۚ اهبِطوا مِصرًا فَإِنَّ لَكُم ما سَأَلتُم ۗ وَضُرِبَت عَلَيهِمُ الذِّلَّةُ وَالمَسكَنَةُ وَباءو بِغَضَبٍ مِنَ اللَّهِ ۗ ذٰلِكَ بِأَنَّهُم كانوا يَكفُرونَ بِـٔايـٰتِ اللَّهِ وَيَقتُلونَ النَّبِيّـۧنَ بِغَيرِ الحَقِّ ۗ ذٰلِكَ بِما عَصَوا وَكانوا يَعتَدونَ,واذ قلتم يـٰموسىٰ لن نصبر علىٰ طعام وٰحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال اتستبدلون الذى هو ادنىٰ بالذى هو خير ۚ اهبطوا مصرا فان لكم ما سالتم ۗ وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ۗ ذٰلك بانهم كانوا يكفرون بـٔايـٰت الله ويقتلون النبيـۧن بغير الحق ۗ ذٰلك بما عصوا وكانوا يعتدون
2:62,إِنَّ الَّذينَ ءامَنوا وَالَّذينَ هادوا وَالنَّصـٰرىٰ وَالصّـٰبِـٔينَ مَن ءامَنَ بِاللَّهِ وَاليَومِ الـٔاخِرِ وَعَمِلَ صـٰلِحًا فَلَهُم أَجرُهُم عِندَ رَبِّهِم وَلا خَوفٌ عَلَيهِم وَلا هُم يَحزَنونَ,ان الذين ءامنوا والذين هادوا والنصـٰرىٰ والصـٰبـٔين من ءامن بالله واليوم الـٔاخر وعمل صـٰلحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
2:63,وَإِذ أَخَذنا ميثـٰقَكُم وَرَفَعنا فَوقَكُمُ الطّورَ خُذوا ما ءاتَينـٰكُم بِقُوَّةٍ وَاذكُروا ما فيهِ لَعَلَّكُم تَتَّقونَ,واذ اخذنا ميثـٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينـٰكم بقوة واذكروا ما فيه لعلكم تتقون
2:64,ثُمَّ تَوَلَّيتُم مِن بَعدِ ذٰلِكَ ۖ فَلَولا فَضلُ اللَّهِ عَلَيكُم وَرَحمَتُهُ لَكُنتُم مِنَ الخـٰسِرينَ,ثم توليتم من بعد ذٰلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخـٰسرين
2:65,وَلَقَد عَلِمتُمُ الَّذينَ اعتَدَوا مِنكُم فِى السَّبتِ فَقُلنا لَهُم كونوا قِرَدَةً خـٰسِـٔينَ,ولقد علمتم الذين اعتدوا منكم فى السبت فقلنا لهم كونوا قردة خـٰسـٔين
2:66,فَجَعَلنـٰها نَكـٰلًا لِما بَينَ يَدَيها وَما خَلفَها وَمَوعِظَةً لِلمُتَّقينَ,فجعلنـٰها نكـٰلا لما بين يديها وما خلفها وموعظة للمتقين
2:67,وَإِذ قالَ موسىٰ لِقَومِهِ إِنَّ اللَّهَ يَأمُرُكُم أَن تَذبَحوا بَقَرَةً ۖ قالوا أَتَتَّخِذُنا هُزُوًا ۖ قالَ أَعوذُ بِاللَّهِ أَن أَكونَ مِنَ الجـٰهِلينَ,واذ قال موسىٰ لقومه ان الله يامركم ان تذبحوا بقرة ۖ قالوا اتتخذنا هزوا ۖ قال اعوذ بالله ان اكون من الجـٰهلين
2:68,قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما هِىَ ۚ قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ لا فارِضٌ وَلا بِكرٌ عَوانٌ بَينَ ذٰلِكَ ۖ فَافعَلوا ما تُؤمَرونَ,قالوا ادع لنا ربك يبين لنا ما هى ۚ قال انه يقول انها بقرة لا فارض ولا بكر عوان بين ذٰلك ۖ فافعلوا ما تؤمرون
2:69,قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما لَونُها ۚ قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ صَفراءُ فاقِعٌ لَونُها تَسُرُّ النّـٰظِرينَ,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال انه يقول انها بقرة صفراء فاقع لونها تسر النـٰظرين
2:70,قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما هِىَ إِنَّ البَقَرَ تَشـٰبَهَ عَلَينا وَإِنّا إِن شاءَ اللَّهُ لَمُهتَدونَ,قالوا ادع لنا ربك يبين لنا ما هى ان البقر تشـٰبه علينا وانا ان شاء الله لمهتدون
2:71,قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ لا ذَلولٌ تُثيرُ الأَرضَ وَلا تَسقِى الحَرثَ مُسَلَّمَةٌ لا شِيَةَ فيها ۚ قالُوا الـٔـٰنَ جِئتَ بِالحَقِّ ۚ فَذَبَحوها وَما كادوا يَفعَلونَ,قال انه يقول انها بقرة لا ذلول تثير الارض ولا تسقى الحرث مسلمة لا شية فيها ۚ قالوا الـٔـٰن جئت بالحق ۚ فذبحوها وما كادوا يفعلون
2:72,وَإِذ قَتَلتُم نَفسًا فَادّٰرَءتُم فيها ۖ وَاللَّهُ مُخرِجٌ ما كُنتُم تَكتُمونَ,واذ قتلتم نفسا فادٰرءتم فيها ۖ والله مخرج ما كنتم تكتمون
